iter	Passed	Remaining
806	1524	364
807	1525	362
808	1527	360
809	1529	358
810	1530	356
811	1532	354
812	1534	352
813	1536	351
814	1537	349
815	1539	347
816	1541	345
817	1542	343
818	1544	341
819	1545	339
820	1547	337
821	1549	335
822	1550	333
823	1552	331
824	1554	329
825	1555	327
826	1557	325
827	1558	323
828	1560	321
829	1561	319
830	1563	318
831	1565	316
832	1567	314
833	1568	312
834	1570	310
835	1571	308
836	1573	306
837	1575	304
838	1577	302
839	1579	300
840	1580	298
841	1582	296
842	1584	295
843	1586	293
844	1587	291
845	1589	289
846	1591	287
847	1594	285
848	1595	283
849	1597	281
850	1599	279
851	1600	278
852	1602	276
853	1604	274
854	1606	272
855	1608	270
856	1610	268
857	1611	266
858	1613	264
859	1615	262
860	1616	261
861	1618	259
862	1619	257
863	1621	255
864	1623	253
865	1624	251
866	1626	249
867	1628	247
868	1630	245
869	1631	243
870	1633	241
871	1635	240
872	1636	238
873	1638	236
874	1640	234
875	1641	232
876	1643	230
877	1644	228
878	1646	226
879	1648	224
880	1649	222
881	1651	220
882	1653	219
883	1655	217
884	1657	215
885	1658	213
886	1660	211
887	1661	209
888	1663	207
889	1665	205
890	1667	203
891	1669	202
892	1671	200
893	1673	198
894	1675	196
895	1676	194
896	1678	192
897	1680	190
898	1681	188
899	1683	187
900	1685	185
901	1686	183
902	1688	181
903	1690	179
904	1691	177
905	1693	175
906	1694	173
907	1696	171
908	1697	169
909	1699	168
910	1701	166
911	1702	164
912	1704	162
913	1706	160
914	1707	158
915	1709	156
916	1710	154
917	1712	152
918	1714	151
919	1715	149
920	1717	147
921	1719	145
922	1720	143
923	1722	141
924	1724	139
925	1725	137
926	1727	136
927	1728	134
928	1730	132
929	1732	130
930	1734	128
931	1735	126
932	1737	124
933	1739	122
934	1740	120
935	1742	119
936	1743	117
937	1745	115
938	1747	113
939	1748	111
940	1750	109
941	1752	107
942	1753	105
943	1755	104
944	1756	102
945	1758	100
946	1760	98
947	1762	96
948	1764	94
949	1766	92
950	1767	91
951	1769	89
952	1771	87
953	1772	85
954	1774	83
955	1776	81
956	1777	79
957	1779	77
958	1780	76
959	1782	74
960	1783	72
961	1785	70
962	1786	68
963	1788	66
964	1790	64
965	1791	63
966	1793	61
967	1795	59
968	1796	57
969	1798	55
970	1799	53
971	1801	51
972	1803	50
973	1804	48
974	1806	46
975	1807	44
976	1809	42
977	1811	40
978	1812	38
979	1814	37
980	1815	35
981	1817	33
982	1819	31
983	1821	29
984	1823	27
985	1825	25
986	1826	24
987	1828	22
988	1829	20
989	1831	18
990	1832	16
991	1834	14
992	1836	12
993	1837	11
994	1839	9
995	1840	7
996	1842	5
997	1843	3
998	1845	1
999	1847	0
